,Unnamed: 0,Index,Name,Description,Employees,Funding,City,Subcountry,Latitude,Longitude,PPDesc,Dist1,Dist2,DistFromOrigin,Labels
51,51,52,abanban ,"for people on the go who want to have easy access to small items like pens and earbuds, the kombine by abanban is a great product. compared to a regular water bottle, it has the benefit of keeping the things you need close to you, in one place that is easily accessible. the kombine is a water bottle with an easy to access storage compartment that can hold 650ml of water, pencils, pens, erasers, earbuds, snacks like granola bars, coins, sticky notes, lip balm, keys and other small items. on top of that, the kombine is easy to carry around with its sturdy handle and convenient size. there is no water bottle on the market that has a storage compartment that is as convenient to access and is able to store so many different items. ",1.0,,toronto,ontario,43.70011,79.4163,people go want easy access small items like pens earbuds kombine abanban great product compared regular water water bottle benefit keeping things need close one place easily accessible kombine water water bottle easy access storage compartment hold 650ml water water pencils pens erasers earbuds snacks like granola bars coins sticky notes lip balm keys small items top kombine easy carry around sturdy handle convenient size water water bottle market storage compartment convenient access able store many different items,0.7174248099327087,0.7688917517662048,1.1058928838410864,Target
101,101,102,swirltex  ,"swirltex has developed a membrane filtration system for treating wastewater.the swirltex lagoon unit  slu  has potential to be transformative for municipalities reliant on lagoon systems as well as for industrial applications. wastewater has traditionally been difficult to treat through membrane filtration due to surface fouling by pollutants. the slu overcomes fouling by creating a centrifugal flow pattern, preventing contaminants from contacting the tubular membrane, thus creating a much more effective system. swirltex will sell the service of treated water per unit volume. it is an affordable option for smaller centers that cannot afford large capital outlays and creates marketable reuse water. the initial target market is municipalities at risk of environmental non compliance. for the future, swirltex will be developing oil and gas applications. our goal is to supply the market demand for recycled industrial water, which will continue to grow with increasing regulatory pressures. ",1.0,,calgary,alberta,51.05011,114.08529,swirltex developed membrane filtration system treating wastewater.the swirltex lagoon unit slu potential transformative municipalities reliant lagoon systems well industrial applications wastewater wastewater traditionally difficult treat membrane filtration due surface fouling pollutants slu overcomes fouling creating centrifugal flow pattern preventing contaminants contacting tubular membrane thus creating much effective system swirltex sell service treated water water per unit volume affordable option smaller centers afford large capital outlays creates marketable reuse water water initial target market municipalities risk environmental non compliance future swirltex developing oil gas applications goal supply market demand recycled industrial water water continue grow increasing regulatory pressures,0.7060426473617554,0.8284383416175842,1.1848063057556892,Target
386,386,388,aqua air 247  ,"o waste r/o out door water vending, electronically controlled, environmentally friendly. provides pure r/o and alkiline water direct to the consumer in 1,3 and 5 gallon water containers. manufactured in canada, made for outdoors, the only o waste r/o water vending machine on the market. current contracts with canadian tire, sol petrolunm, working with macs convience stores, iga. business model long term residual from water sales. water from the air, water machines, serves directly to 500 and 700 ml reuseable water bottles. simply plug it in and it makes water from the air. we currently have developed our own freeze technology which no one else has, in process of applying for patents. works in dry climates as well as humid climates. current unit makes 70 to 80 litres a day, currently, working on a large unit that will produce 700 plus litres of pure fresh water a day. we have also developed an air to water unit for the marijuana grow ops. environmentally friendly. no more plastic. ",1.0,,kelowna,british columbia,49.88307,119.48568,"waste r/o door water water vending electronically controlled environmentally friendly provides pure r/o alkiline water water direct consumer 1,3 5 gallon water water containers manufactured canada made outdoors waste r/o water water vending machine market current contracts canadian tire sol petrolunm working macs convience stores iga business model long term residual water water sales water water air water water machines serves directly 500 700 ml reuseable water water bottles simply plug makes water water air currently developed freeze technology one else process applying patents works dry climates well humid climates current unit makes 70 80 litres day currently working large unit produce 700 plus litres pure fresh water water day also developed air water water unit marijuana grow ops environmentally friendly plastic",0.7412902116775513,0.7566465139389038,1.1220251249848445,Target
571,571,573,the lake project ,"in history, the discovery of fresh water has coincided with the the founding of new civilizations. we believe the birth of the new cryptocurrency asset class to be analogous to that discovery a lake from which we can build anew. by devoting ourselves to building open financial tools around this new lake, we hope to bring it to more people, accelerating the transition of our current economy to a future cryptoeconomic one. we are building an ai powered backbone that will effectively maintain the entire ecosystem. if we are indeed moving towards a frictionless global economy, we will need machines that are better at participating in it than us. this ecosystem consists of a suite of decentralized financial offerings. these assets include fiat currencies, stocks, bonds, commodities, video game items, digital collectibles, software licenses, reputation and much more. we will build a standard api to implement seamless token transferring so dapps and users can interact effortlessly. ",10.0,,toronto,ontario,43.70011,79.4163,history discovery fresh water water coincided founding new civilizations believe birth new cryptocurrency asset class analogous discovery lake build anew devoting building open financial tools around new lake hope bring people accelerating transition current economy future cryptoeconomic one building ai powered backbone effectively maintain entire ecosystem indeed moving towards frictionless global economy need machines better participating us ecosystem consists suite decentralized financial offerings assets include fiat currencies stocks bonds commodities video game items digital collectibles software licenses reputation much build standard api implement seamless token transferring dapps users interact effortlessly,0.7259145975112915,0.8113000988960266,1.185159853348683,Target
637,637,639,aphax,taphax is a real time water consumption tool to save money and promote a sustainable lifestyle to address the intangibility of water waste. taphax faucet can integrate easily onto faucets allowing you to visualize your consumption.,0.0,,kitchener,ontario,43.42537,80.5112,taphax real time water water consumption tool save money promote sustainable lifestyle address intangibility water water waste taphax faucet integrate easily onto faucets allowing visualize consumption,0.4901287853717804,0.7534645795822144,0.8079350989350198,Target
907,907,909,aurora analytical ,"aurora analytical has uses a simple bolt on technology to partially upgrade heavy oil and bitumen. this adds value to the product and reduces the amount of diluent required to transport alberta oil, due to its high viscosity, limiting pipeline capacity. the same technology can also economically extract high value minerals  ziron and titanium dioxide  from tailings ponds and reduce the carbon intensity, water usage, and emissions in the oilsands operations while producing ready to reclaim tailings as required by aer   s directive 85. ",0.0,,calgary,alberta,51.05011,114.08529,aurora analytical uses simple bolt technology partially upgrade heavy oil bitumen adds value product reduces amount diluent required transport alberta oil due high viscosity limiting pipeline capacity technology also economically extract high value minerals ziron titanium dioxide tailings ponds reduce carbon intensity water water usage emissions oilsands operations producing ready reclaim tailings required aer directive 85,0.6659039258956909,0.8536719679832458,1.1721838674436817,Target
1135,1135,1137,advanz industrial canada ,"advanz industrial canada ltd. has been an industry leader in providing filtration solutions for a variety of industries, including gas and oil filtration, natural  fuel  gas filters, crude oil, refining, gasoline, diesel fuel, power generation, petrochemical, chemical, manufacturing, water, and food  amp beverage.  we have the global experience and infrastructure to provide the solutions you need. we commit to serve professionally and in time. advanz wants to assist with your project, from conception, engineering, sizing and design, to start up. we can also evaluate your current operation and make sure is at its best, plus provide replacement filter elements. ",0.0,,vancouver,british columbia,49.24966,123.11934,advanz industrial canada ltd. industry leader providing filtration solutions variety industries including gas oil filtration natural fuel gas filters crude oil refining gasoline diesel fuel power generation petrochemical chemical manufacturing water water food amp beverage global experience infrastructure provide solutions need commit serve professionally time advanz wants assist project conception engineering sizing design start also evaluate current operation make sure best plus provide replacement filter elements,0.7076908349990845,0.8178126215934753,1.1696438019792943,Target
1148,1148,1150,nature s gallery  ,"canadian garden in the mountains of bc canada 40 miles to washington state border with canada healthy growth of the 3200 acres of lands forests lakes creeks wildlife. balanced. this is one 3200 acre title of land zoned for promotion of life. with title to the land in canada are self sufficient natural food water and energy all green available for growth within balance. use ai to maximise the growth of this paradise whether very small or bigger to give back to nature. solar , wind and micro hydro are all available from this property where water is unlimited from 6000 foot huge snowpack at the mountain tops. at 6000 feet wind averages 13 knots average 365 days per year solar will approach minimal costs almost zero within ten years and 3200 acres with zoning means surplus electricity via tesla power walls. vertical ai air hydroponic farming of medicinal healthy high value indigenous and local herbs and foods for the nelson bc area. the forests have an abundance of indigenous ",0.0,,nelson,british columbia,49.49985,117.28553,canadian garden mountains bc canada 40 miles washington state border canada healthy growth 3200 acres lands forests lakes creeks wildlife balanced one 3200 acre title land zoned promotion life title land canada self sufficient natural food water water energy green available growth within balance use ai maximise growth paradise whether small bigger give back nature solar wind micro hydro available property water water unlimited 6000 foot huge snowpack mountain tops 6000 feet wind averages 13 knots average 365 days per year solar approach minimal costs almost zero within ten years 3200 acres zoning means surplus electricity via tesla power walls vertical ai air hydroponic farming medicinal healthy high value indigenous local herbs foods nelson bc area forests abundance indigenous,0.7410666942596436,0.7447829246520996,1.103881450194251,Target
1479,1479,1481,deluge water ,"ontarieau is currently the only local brand of sparkling water from ontario. our primary competition are brands like san pellegrino and perrier that are shipped over from europe. it doesn t really make sense that ontario restaurants should be buying water from overseas when ontario has 1/5 of the world s freshwater supply. moreover, we re use as much of our packaging as possible and have even recently opened up our own in house recycling facility. our customers can feel good knowing that they re supporting a company that uses local spring water as well as sustainable packaging practices. our other line of products is play unsweetened soda s. we live in a society where the vast majority of food products have added sweeteners  refined, natural, artificial . diabetes and obesity are major problems in north america. play is an all natural sparkling beverage that has zero added sweeteners. ",1.0,,toronto,ontario,43.70011,79.4163,ontarieau currently local brand sparkling water water ontario primary competition brands like san pellegrino perrier shipped europe really make sense ontario restaurants buying water water overseas ontario 1/5 world freshwater supply moreover use much packaging possible even recently opened house recycling facility customers feel good knowing supporting company uses local spring water water well sustainable packaging practices line products play unsweetened soda s. live society vast majority food products added sweeteners refined natural artificial diabetes obesity major problems north america play natural sparkling beverage zero added sweeteners,0.7414149045944214,0.8537899851799011,1.2786533995482507,Target
1532,1532,1534,jurota company ,"the group currently operates mainly in the five business areas of aircraft, special purpose trucks, fluid  water treatment equipment , industrial machinery systems, and parking systems, with the entire group working in concert to cover everything from production through after sales services. ",500.0,,toronto,ontario,43.70011,79.4163,group currently operates mainly five business areas aircraft special purpose trucks fluid water water treatment equipment industrial machinery systems parking systems entire group working concert cover everything production sales services,0.7496466636657715,0.7528529763221741,1.1287577243023783,Target
